fecha;enso_a̱o;enso_mes;anomalia_oni;temp_sst;temp_media;soi;iod
1/02/1972;Ni̱a - Ni̱o;Neutral;-0.3;26.61;26.65;0.67;-0.216
1/03/1972;Ni̱a - Ni̱o;Neutral;0.03;27.06;26.65;0.13;0.031
1/04/1972;Ni̱a - Ni̱o;Neutral;0.45;27.44;26.65;-0.46;0.131
1/05/1972;Ni̱a - Ni̱o;Ni̱o;0.75;27.56;26.66;-1.52;0.157
1/06/1972;Ni̱a - Ni̱o;Ni̱o;0.8;27.38;26.66;-1.68;0.739
1/07/1972;Ni̱a - Ni̱o;Ni̱o;1.2;26.94;26.66;-1.84;0.708
1/08/1972;Ni̱a - Ni̱o;Ni̱o;1.4;26.54;26.66;-1.12;0.511
1/09/1972;Ni̱a - Ni̱o;Ni̱o;1.52;26.42;26.66;-1.48;0.363
1/10/1972;Ni̱a - Ni̱o;Ni̱o;1.83;26.43;26.66;-1.13;0.327
1/11/1972;Ni̱a - Ni̱o;Ni̱o;2.17;26.43;26.66;-0.38;0.671
1/12/1972;Ni̱a - Ni̱o;Ni̱o;2.28;26.4;26.66;-1.47;0.477
1/01/1973;Ni̱o - Ni̱a;Ni̱o;1.92;26.42;26.66;-0.43;0.043
1/02/1973;Ni̱o - Ni̱a;Ni̱o;1.34;26.61;26.66;-1.47;-0.077
1/03/1973;Ni̱o - Ni̱a;Neutral;0.49;27.06;26.66;-0.06;-0.001
1/04/1973;Ni̱o - Ni̱a;Neutral;-0.19;27.44;26.66;-0.37;-0.117
1/05/1973;Ni̱o - Ni̱a;Ni̱a;-0.59;27.56;26.66;0.25;0.085
1/06/1973;Ni̱o - Ni̱a;Ni̱a;-0.83;27.38;26.67;1.22;-0.225
1/07/1973;Ni̱o - Ni̱a;Ni̱a;-1.18;26.94;26.67;0.63;-0.495
1/08/1973;Ni̱o - Ni̱a;Ni̱a;-1.31;26.54;26.67;1.18;-0.607
1/09/1973;Ni̱o - Ni̱a;Ni̱a;-1.36;26.42;26.67;1.27;-0.773
1/10/1973;Ni̱o - Ni̱a;Ni̱a;-1.69;26.43;26.67;0.85;-0.449
1/11/1973;Ni̱o - Ni̱a;Ni̱a;-2.09;26.43;26.66;2.85;-0.157
1/12/1973;Ni̱o - Ni̱a;Ni̱a;-2.06;26.4;26.66;1.76;0.047
1/01/1974;Ni̱a;Ni̱a;-1.95;26.42;26.66;2.16;0.279
1/02/1974;Ni̱a;Ni̱a;-1.5;26.61;26.66;1.49;0.156
1/03/1974;Ni̱a;Ni̱a;-1.21;27.06;26.66;2.1;0.249
1/04/1974;Ni̱a;Ni̱a;-0.97;27.44;26.67;1.27;-0.053
1/05/1974;Ni̱a;Ni̱a;-0.91;27.56;26.67;1.24;-0.239
1/06/1974;Ni̱a;Ni̱a;-0.85;27.38;26.67;0.14;-0.027
1/07/1974;Ni̱a;Ni̱a;-0.55;26.94;26.67;1.23;-0.249
1/08/1974;Ni̱a;Neutral;-0.21;26.54;26.67;0.56;-0.497
1/09/1974;Ni̱a;Neutral;-0.35;26.42;26.67;1.16;-0.661
1/10/1974;Ni̱a;Ni̱a;-0.66;26.43;26.67;0.72;-0.845
1/11/1974;Ni̱a;Ni̱a;-0.82;26.43;26.67;-0.42;-0.551
1/12/1974;Ni̱a;Ni̱a;-0.78;26.4;26.67;-0.14;-0.36
1/01/1975;Ni̱a;Neutral;-0.32;26.42;26.67;-0.62;-0.367
1/02/1975;Ni̱a;Ni̱a;-0.53;26.61;26.67;0.46;-0.249
1/03/1975;Ni̱a;Ni̱a;-0.86;27.06;26.67;1.14;-0.464
1/04/1975;Ni̱a;Ni̱a;-0.58;27.44;26.67;1.48;0.087
1/05/1975;Ni̱a;Ni̱a;-0.76;27.56;26.68;0.51;0.066
1/06/1975;Ni̱a;Ni̱a;-1.15;27.38;26.68;1.69;0.055
1/07/1975;Ni̱a;Ni̱a;-1.04;26.94;26.68;2.13;-0.039
1/08/1975;Ni̱a;Ni̱a;-1.2;26.54;26.68;2.03;-0.344
1/09/1975;Ni̱a;Ni̱a;-1.37;26.42;26.68;2.15;-0.857
1/10/1975;Ni̱a;Ni̱a;-1.54;26.43;26.68;1.67;-1.056
1/11/1975;Ni̱a;Ni̱a;-1.38;26.43;26.68;1.25;-0.328
1/12/1975;Ni̱a;Ni̱a;-1.73;26.4;26.67;2.05;-0.17
1/01/1976;Ni̱a - Ni̱o;Ni̱a;-1.84;26.39;26.67;1.19;0.005
1/02/1976;Ni̱a - Ni̱o;Ni̱a;-1.09;26.59;26.67;1.18;0.077
1/03/1976;Ni̱a - Ni̱o;Ni̱a;-0.58;27.04;26.67;1.33;0.02
1/04/1976;Ni̱a - Ni̱o;Ni̱a;-0.53;27.42;26.68;0.24;0.122
1/05/1976;Ni̱a - Ni̱o;Neutral;-0.31;27.51;26.68;0.5;-0.004
1/06/1976;Ni̱a - Ni̱o;Neutral;0;27.35;26.68;-0.16;0.369
1/07/1976;Ni̱a - Ni̱o;Neutral;0.17;26.95;26.68;-1.24;0.594
1/08/1976;Ni̱a - Ni̱o;Neutral;0.38;26.59;26.68;-1.46;0.107
1/09/1976;Ni̱a - Ni̱o;Neutral;0.5;26.51;26.68;-1.29;-0.208
1/10/1976;Ni̱a - Ni̱o;Ni̱o;0.98;26.48;26.68;0.13;-0.231
1/11/1976;Ni̱a - Ni̱o;Ni̱o;0.95;26.46;26.68;0.76;-0.181
1/12/1976;Ni̱a - Ni̱o;Ni̱o;0.66;26.43;26.68;-0.48;0.028
1/01/1977;Ni̱o;Ni̱o;0.93;26.39;26.68;-0.39;-0.003
1/02/1977;Ni̱o;Ni̱o;0.55;26.59;26.68;0.65;-0.261
1/03/1977;Ni̱o;Neutral;0.44;27.04;26.68;-1.2;0.174
1/04/1977;Ni̱o;Neutral;0.03;27.42;26.68;-1.17;-0.029
1/05/1977;Ni̱o;Neutral;0.22;27.51;26.68;-1.18;-0.341
1/06/1977;Ni̱o;Neutral;0.39;27.35;26.69;-2.33;-0.095
1/07/1977;Ni̱o;Neutral;0.42;26.95;26.69;-1.45;-0.171
1/08/1977;Ni̱o;Neutral;0.25;26.59;26.69;-1.42;-0.26
1/09/1977;Ni̱o;Ni̱o;0.6;26.51;26.69;-0.95;-0.259
1/10/1977;Ni̱o;Ni̱o;0.86;26.48;26.69;-1.39;0.245
1/11/1977;Ni̱o;Ni̱o;0.72;26.46;26.68;-1.56;-0.127
1/12/1977;Ni̱o;Ni̱o;0.86;26.43;26.68;-1.23;-0.02
1/01/1978;Ni̱o - Ni̱a;Ni̱o;0.78;26.39;26.68;-0.48;-0.64
1/02/1978;Ni̱o - Ni̱a;Neutral;0.42;26.59;26.68;-2.63;-0.53
1/03/1978;Ni̱o - Ni̱a;Neutral;0.06;27.04;26.68;-0.82;-0.582
1/04/1978;Ni̱o - Ni̱a;Neutral;-0.3;27.42;26.69;-0.88;-0.214
1/05/1978;Ni̱o - Ni̱a;Neutral;-0.31;27.51;26.69;1.5;-0.533
1/06/1978;Ni̱o - Ni̱a;Neutral;-0.33;27.35;26.69;0.4;-0.174
1/07/1978;Ni̱o - Ni̱a;Neutral;-0.22;26.95;26.69;0.53;-0.107
1/08/1978;Ni̱o - Ni̱a;Ni̱a;-0.53;26.59;26.69;0.12;-0.224
1/09/1978;Ni̱o - Ni̱a;Neutral;-0.5;26.51;26.69;0.06;-0.261
1/10/1978;Ni̱o - Ni̱a;Neutral;-0.23;26.48;26.69;-0.76;-0.502
1/11/1978;Ni̱o - Ni̱a;Neutral;-0.14;26.46;26.69;-0.28;-0.458
1/12/1978;Ni̱o - Ni̱a;Neutral;0.11;26.43;26.69;-0.21;-0.26
1/01/1979;Ni̱o;Neutral;0.03;26.39;26.69;-0.45;0.317
1/02/1979;Ni̱o;Neutral;-0.04;26.59;26.69;0.61;-0.158
1/03/1979;Ni̱o;Neutral;0.23;27.04;26.69;-0.49;-0.034
1/04/1979;Ni̱o;Neutral;0.42;27.42;26.69;-0.65;-0.207
1/05/1979;Ni̱o;Neutral;0.19;27.51;26.69;0.46;-0.444
1/06/1979;Ni̱o;Neutral;0.08;27.35;26.69;0.58;0.108
1/07/1979;Ni̱o;Neutral;-0.13;26.95;26.7;-0.76;-0.315
1/08/1979;Ni̱o;Neutral;0.16;26.59;26.7;-0.69;-0.226
1/09/1979;Ni̱o;Neutral;0.48;26.51;26.69;0.11;-0.28
1/10/1979;Ni̱o;Neutral;0.35;26.48;26.69;-0.37;-0.314
1/11/1979;Ni̱o;Ni̱o;0.53;26.46;26.69;-0.61;-0.251
1/12/1979;Ni̱o;Ni̱o;0.69;26.43;26.69;-0.9;-0.101
1/01/1980;Ni̱o;Ni̱o;0.7;26.39;26.69;0.28;-0.158
1/02/1980;Ni̱o;Neutral;0.39;26.59;26.69;-0.02;-0.2
1/03/1980;Ni̱o;Neutral;0.28;27.04;26.69;-1.06;-0.417
1/04/1980;Ni̱o;Neutral;0.34;27.42;26.69;-1.6;-0.095
1/05/1980;Ni̱o;Ni̱o;0.51;27.51;26.7;-0.35;-0.066
1/06/1980;Ni̱o;Ni̱o;0.59;27.35;26.7;-0.68;-0.382
1/07/1980;Ni̱o;Neutral;0.28;26.95;26.7;-0.14;-0.661
1/08/1980;Ni̱o;Neutral;-0.11;26.59;26.7;-0.06;-0.822
1/09/1980;Ni̱o;Neutral;-0.07;26.51;26.7;-0.54;-0.745
1/10/1980;Ni̱o;Neutral;-0.02;26.48;26.7;-0.34;-0.657
1/11/1980;Ni̱o;Neutral;0.14;26.46;26.7;-0.47;-0.417
1/12/1980;Ni̱o;Neutral;0.22;26.43;26.7;-0.21;-0.483
1/01/1981;Ni̱a;Neutral;-0.38;26.57;26.7;0.27;-0.201
1/02/1981;Ni̱a;Ni̱a;-0.62;26.75;26.7;-0.47;-0.024
1/03/1981;Ni̱a;Ni̱a;-0.51;27.17;26.7;-2.01;0.027
1/04/1981;Ni̱a;Neutral;-0.29;27.59;26.7;-0.6;0.092
1/05/1981;Ni̱a;Neutral;-0.3;27.66;26.7;0.82;-0.018
1/06/1981;Ni̱a;Neutral;-0.19;27.46;26.7;1.28;-0.24
1/07/1981;Ni̱a;Neutral;-0.37;27.02;26.71;0.87;-0.56
1/08/1981;Ni̱a;Neutral;-0.32;26.64;26.71;0.4;-0.628
1/09/1981;Ni̱a;Neutral;-0.04;26.56;26.7;0.52;-0.757
1/10/1981;Ni̱a;Neutral;-0.11;26.53;26.7;-0.71;-0.606
1/11/1981;Ni̱a;Neutral;-0.23;26.52;26.7;0.07;-0.328
1/12/1981;Ni̱a;Neutral;-0.11;26.51;26.7;0.41;-0.019
1/01/1982;Ni̱o;Neutral;0.11;26.57;26.7;0.87;0.144
1/02/1982;Ni̱o;Neutral;-0.15;26.75;26.7;-0.03;0.166
1/03/1982;Ni̱o;Neutral;0.25;27.17;26.7;0.05;0.054
1/04/1982;Ni̱o;Neutral;0.45;27.59;26.71;-0.46;0.119
1/05/1982;Ni̱o;Ni̱o;0.72;27.66;26.71;-0.74;0.223
1/06/1982;Ni̱o;Ni̱o;0.8;27.46;26.71;-2.49;0.255
1/07/1982;Ni̱o;Ni̱o;0.64;27.02;26.71;-1.89;0.265
1/08/1982;Ni̱o;Ni̱o;0.93;26.64;26.71;-2.66;0.256
1/09/1982;Ni̱o;Ni̱o;1.64;26.56;26.71;-2.12;0.442
1/10/1982;Ni̱o;Ni̱o;2.16;26.53;26.71;-2.2;0.623
1/11/1982;Ni̱o;Ni̱o;2.09;26.52;26.71;-3.25;0.284
1/12/1982;Ni̱o;Ni̱o;2.28;26.51;26.71;-2.48;-0.162
1/01/1983;Ni̱o - Ni̱a;Ni̱o;2.32;26.57;26.71;-3.36;-0.482
1/02/1983;Ni̱o - Ni̱a;Ni̱o;1.94;26.75;26.71;-3.46;-0.587
1/03/1983;Ni̱o - Ni̱a;Ni̱o;1.49;27.17;26.71;-3.25;-0.752
1/04/1983;Ni̱o - Ni̱a;Ni̱o;1.19;27.59;26.71;-1.41;-0.556
1/05/1983;Ni̱o - Ni̱a;Ni̱o;1.18;27.66;26.72;0.79;-0.059
1/06/1983;Ni̱o - Ni̱a;Ni̱o;0.82;27.46;26.72;-0.58;0.371
1/07/1983;Ni̱o - Ni̱a;Neutral;0.17;27.02;26.72;-0.7;0.525
1/08/1983;Ni̱o - Ni̱a;Neutral;-0.04;26.64;26.72;-0.37;0.345
1/09/1983;Ni̱o - Ni̱a;Neutral;-0.36;26.56;26.72;0.91;-0.069
1/10/1983;Ni̱o - Ni̱a;Ni̱a;-0.96;26.53;26.72;0.34;-0.288
1/11/1983;Ni̱o - Ni̱a;Ni̱a;-1.1;26.52;26.72;-0.12;-0.343
1/12/1983;Ni̱o - Ni̱a;Ni̱a;-0.94;26.51;26.72;-0.17;-0.101
1/01/1984;Ni̱a;Ni̱a;-0.69;26.57;26.72;-0.03;-0.223
1/02/1984;Ni̱a;Neutral;-0.18;26.75;26.72;0.43;-0.149
1/03/1984;Ni̱a;Neutral;-0.39;27.17;26.72;-0.85;-0.122
1/04/1984;Ni̱a;Neutral;-0.44;27.59;26.72;0.39;0.05
1/05/1984;Ni̱a;Neutral;-0.46;27.66;26.72;-0.03;-0.305
1/06/1984;Ni̱a;Ni̱a;-0.63;27.46;26.72;-1.22;-0.357
1/07/1984;Ni̱a;Neutral;-0.24;27.02;26.72;0.12;-0.366
1/08/1984;Ni̱a;Neutral;-0.04;26.64;26.72;0.1;-0.498
1/09/1984;Ni̱a;Neutral;-0.19;26.56;26.72;0.17;-0.608
1/10/1984;Ni̱a;Neutral;-0.49;26.53;26.72;-0.61;-0.654
1/11/1984;Ni̱a;Ni̱a;-1;26.52;26.72;0.12;-0.418
1/12/1984;Ni̱a;Ni̱a;-1.25;26.51;26.72;-0.24;-0.278
1/01/1985;Ni̱a;Ni̱a;-1.17;26.57;26.72;-0.55;-0.466
1/02/1985;Ni̱a;Ni̱a;-0.71;26.75;26.72;0.79;-0.627
1/03/1985;Ni̱a;Ni̱a;-0.67;27.17;26.72;0.2;-0.541
1/04/1985;Ni̱a;Ni̱a;-0.93;27.59;26.72;1.42;-0.2
1/05/1985;Ni̱a;Ni̱a;-0.75;27.66;26.73;-0.15;-0.223
1/06/1985;Ni̱a;Ni̱a;-0.65;27.46;26.73;-1.39;-0.629
1/07/1985;Ni̱a;Neutral;-0.47;27.02;26.73;-0.2;-0.403
1/08/1985;Ni̱a;Neutral;-0.35;26.64;26.73;0.66;-0.459
1/09/1985;Ni̱a;Ni̱a;-0.55;26.56;26.73;0;-0.238
1/10/1985;Ni̱a;Neutral;-0.3;26.53;26.73;-0.76;-0.498
1/11/1985;Ni̱a;Neutral;-0.2;26.52;26.73;-0.35;0.074
1/12/1985;Ni̱a;Neutral;-0.32;26.51;26.73;0.12;-0.417
1/01/1986;Ni̱a - Ni̱o;Ni̱a;-0.56;26.46;26.73;0.82;-0.113
1/02/1986;Ni̱a - Ni̱o;Ni̱a;-0.6;26.66;26.73;-1.28;-0.135
1/03/1986;Ni̱a - Ni̱o;Neutral;-0.26;27.14;26.73;-0.09;-0.2
1/04/1986;Ni̱a - Ni̱o;Neutral;-0.08;27.58;26.73;0.11;-0.286
1/05/1986;Ni̱a - Ni̱o;Neutral;-0.27;27.68;26.73;-0.63;-0.154
1/06/1986;Ni̱a - Ni̱o;Neutral;-0.01;27.43;26.73;1.01;-0.278
1/07/1986;Ni̱a - Ni̱o;Neutral;0.17;27.01;26.73;0.24;-0.546
1/08/1986;Ni̱a - Ni̱o;Ni̱o;0.51;26.66;26.73;-0.85;-0.401
1/09/1986;Ni̱a - Ni̱o;Ni̱o;0.65;26.59;26.73;-0.53;-0.142
1/10/1986;Ni̱a - Ni̱o;Ni̱o;0.98;26.54;26.73;0.54;-0.048
1/11/1986;Ni̱a - Ni̱o;Ni̱o;1.2;26.5;26.73;-1.57;-0.244
1/12/1986;Ni̱a - Ni̱o;Ni̱o;1.24;26.47;26.73;-1.64;-0.274
1/01/1987;Ni̱o;Ni̱o;1.22;26.46;26.73;-0.75;-0.081
1/02/1987;Ni̱o;Ni̱o;1.23;26.66;26.73;-1.41;0.041
1/03/1987;Ni̱o;Ni̱o;1.13;27.14;26.73;-2.03;-0.137
1/04/1987;Ni̱o;Ni̱o;0.82;27.58;26.73;-2.69;-0.157
1/05/1987;Ni̱o;Ni̱o;0.88;27.68;26.74;-2.12;0.165
1/06/1987;Ni̱o;Ni̱o;1.21;27.43;26.74;-2.69;0.109
1/07/1987;Ni̱o;Ni̱o;1.57;27.01;26.74;-1.82;0.207
1/08/1987;Ni̱o;Ni̱o;1.76;26.66;26.74;-1.67;0.297
1/09/1987;Ni̱o;Ni̱o;1.77;26.59;26.74;-1.13;0.393
1/10/1987;Ni̱o;Ni̱o;1.42;26.54;26.74;-0.69;0.255
1/11/1987;Ni̱o;Ni̱o;1.27;26.5;26.74;-0.07;-0.051
1/12/1987;Ni̱o;Ni̱o;1.07;26.47;26.74;-0.66;0.152
1/01/1988;Ni̱o - Ni̱a;Ni̱o;0.99;26.46;26.73;-0.31;0.353
1/02/1988;Ni̱o - Ni̱a;Neutral;0.37;26.66;26.73;-0.65;-0.154
1/03/1988;Ni̱o - Ni̱a;Neutral;0.25;27.14;26.74;0.13;-0.313
1/04/1988;Ni̱o - Ni̱a;Neutral;-0.19;27.58;26.74;-0.03;-0.128
1/05/1988;Ni̱o - Ni̱a;Ni̱a;-1;27.68;26.74;1.09;-0.513
1/06/1988;Ni̱o - Ni̱a;Ni̱a;-1.44;27.43;26.74;-0.2;-0.272
1/07/1988;Ni̱o - Ni̱a;Ni̱a;-1.45;27.01;26.74;1.17;-0.15
1/08/1988;Ni̱o - Ni̱a;Ni̱a;-0.99;26.66;26.74;1.36;-0.289
1/09/1988;Ni̱o - Ni̱a;Ni̱a;-0.87;26.59;26.74;1.92;-0.394
1/10/1988;Ni̱o - Ni̱a;Ni̱a;-1.71;26.54;26.74;1.35;-0.525
1/11/1988;Ni̱o - Ni̱a;Ni̱a;-1.85;26.5;26.74;1.92;-0.183
1/12/1988;Ni̱o - Ni̱a;Ni̱a;-1.83;26.47;26.74;1.09;0.156
1/01/1989;Ni̱a;Ni̱a;-1.87;26.46;26.74;1.31;-0.281
1/02/1989;Ni̱a;Ni̱a;-1.37;26.66;26.74;0.8;-0.045
1/03/1989;Ni̱a;Ni̱a;-1.05;27.14;26.74;0.59;-0.319
1/04/1989;Ni̱a;Ni̱a;-0.82;27.58;26.74;2.18;-0.48
1/05/1989;Ni̱a;Ni̱a;-0.61;27.68;26.74;1.45;-0.594
1/06/1989;Ni̱a;Neutral;-0.29;27.43;26.74;0.81;-0.78
1/07/1989;Ni̱a;Neutral;-0.3;27.01;26.75;0.95;-0.447
1/08/1989;Ni̱a;Neutral;-0.33;26.66;26.75;-0.82;-0.321
1/09/1989;Ni̱a;Neutral;-0.18;26.59;26.74;0.52;-0.225
1/10/1989;Ni̱a;Neutral;-0.22;26.54;26.74;0.61;-0.412
1/11/1989;Ni̱a;Neutral;-0.25;26.5;26.74;-0.38;-0.338
1/12/1989;Ni̱a;Neutral;-0.01;26.47;26.74;-0.62;-0.167
1/01/1990;Neutral;Neutral;0.11;26.46;26.74;-0.21;-0.099
1/02/1990;Neutral;Neutral;0.31;26.66;26.74;-1.79;-0.289
1/03/1990;Neutral;Neutral;0.2;27.14;26.74;-1.09;-0.143
1/04/1990;Neutral;Neutral;0.33;27.58;26.75;-0.01;-0.385
1/05/1990;Neutral;Neutral;0.34;27.68;26.75;1.41;-0.348
1/06/1990;Neutral;Neutral;0.21;27.43;26.75;-0.07;-0.568
1/07/1990;Neutral;Neutral;0.37;27.01;26.75;0.57;-0.246
1/08/1990;Neutral;Neutral;0.42;26.66;26.75;-0.71;-0.392
1/09/1990;Neutral;Neutral;0.35;26.59;26.75;-0.78;-0.183
1/10/1990;Neutral;Neutral;0.4;26.54;26.75;-0.17;-0.345
1/11/1990;Neutral;Neutral;0.31;26.5;26.75;-0.68;-0.094
1/12/1990;Neutral;Neutral;0.48;26.47;26.75;-0.38;0.003
1/01/1991;Ni̱o;Neutral;0.45;26.59;26.75;0.45;0.065
1/02/1991;Ni̱o;Neutral;0.29;26.79;26.75;-0.06;-0.097
1/03/1991;Ni̱o;Neutral;0.05;27.28;26.75;-1.35;-0.037
1/04/1991;Ni̱o;Neutral;0.32;27.7;26.75;-1.55;0.289
1/05/1991;Ni̱o;Neutral;0.4;27.8;26.75;-1.74;0.379
1/06/1991;Ni̱o;Ni̱o;0.65;27.6;26.75;-0.79;0.263
1/07/1991;Ni̱o;Ni̱o;0.86;27.19;26.75;-0.07;0.27
1/08/1991;Ni̱o;Ni̱o;0.69;26.84;26.75;-1.07;0.058
1/09/1991;Ni̱o;Neutral;0.36;26.78;26.75;-1.64;0.099
1/10/1991;Ni̱o;Ni̱o;0.82;26.76;26.75;-1.55;-0.03
1/11/1991;Ni̱o;Ni̱o;1.19;26.7;26.75;-0.77;0.04
1/12/1991;Ni̱o;Ni̱o;1.62;26.66;26.75;-2.02;0.084
1/01/1992;Ni̱o;Ni̱o;1.78;26.59;26.75;-2.85;-0.321
1/02/1992;Ni̱o;Ni̱o;1.74;26.79;26.75;-1.05;-0.389
1/03/1992;Ni̱o;Ni̱o;1.38;27.28;26.76;-2.85;-0.671
1/04/1992;Ni̱o;Ni̱o;1.32;27.7;26.76;-2.06;-0.553
1/05/1992;Ni̱o;Ni̱o;1.16;27.8;26.76;0.06;-0.549
1/06/1992;Ni̱o;Ni̱o;0.7;27.6;26.76;-1.82;-0.861
1/07/1992;Ni̱o;Neutral;0.33;27.19;26.76;-0.63;-0.479
1/08/1992;Ni̱o;Neutral;0.07;26.84;26.76;-0.01;-0.768
1/09/1992;Ni̱o;Neutral;-0.13;26.78;26.76;0.06;-0.833
1/10/1992;Ni̱o;Neutral;-0.34;26.76;26.76;-2.03;-0.627
1/11/1992;Ni̱o;Neutral;-0.28;26.7;26.76;-0.84;-0.399
1/12/1992;Ni̱o;Neutral;-0.21;26.66;26.76;-0.71;-0.317
1/01/1993;Ni̱o;Neutral;0.1;26.59;26.76;-0.93;-0.196
1/02/1993;Ni̱o;Neutral;0.38;26.79;26.76;-0.96;0.035
1/03/1993;Ni̱o;Neutral;0.4;27.28;26.76;-1.13;-0.295
1/04/1993;Ni̱o;Ni̱o;0.71;27.7;26.76;-2.29;-0.181
1/05/1993;Ni̱o;Ni̱o;0.91;27.8;26.77;-0.59;-0.027
1/06/1993;Ni̱o;Neutral;0.48;27.6;26.77;-2.18;-0.108
1/07/1993;Ni̱o;Neutral;0.33;27.19;26.77;-1.06;-0.152
1/08/1993;Ni̱o;Neutral;0.15;26.84;26.77;-1.73;-0.305
1/09/1993;Ni̱o;Neutral;0.29;26.78;26.77;-0.78;-0.17
1/10/1993;Ni̱o;Neutral;0.02;26.76;26.77;-1.57;-0.156
1/11/1993;Ni̱o;Neutral;0.01;26.7;26.77;-0.13;-0.149
1/12/1993;Ni̱o;Neutral;0.1;26.66;26.77;0.07;-0.206
1/01/1994;Ni̱o;Neutral;0.06;26.59;26.77;-0.25;0.025
1/02/1994;Ni̱o;Neutral;0.03;26.79;26.77;-0.06;-0.146
1/03/1994;Ni̱o;Neutral;0.11;27.28;26.77;-1.35;0.202
1/04/1994;Ni̱o;Neutral;0.38;27.7;26.77;-2.63;0.351
1/05/1994;Ni̱o;Neutral;0.43;27.8;26.77;-1.26;0.544
1/06/1994;Ni̱o;Neutral;0.44;27.6;26.77;-1.46;0.433
1/07/1994;Ni̱o;Neutral;0.35;27.19;26.77;-1.7;0.557
1/08/1994;Ni̱o;Ni̱o;0.54;26.84;26.78;-2.03;0.811
1/09/1994;Ni̱o;Neutral;0.41;26.78;26.78;-1.7;0.529
1/10/1994;Ni̱o;Ni̱o;0.71;26.76;26.77;-1.58;0.707
1/11/1994;Ni̱o;Ni̱o;1.11;26.7;26.77;-0.81;0.287
1/12/1994;Ni̱o;Ni̱o;1.19;26.66;26.77;-1.41;0.263
1/01/1995;Ni̱o - Ni̱a;Ni̱o;0.98;26.59;26.77;-0.51;0.14
1/02/1995;Ni̱o - Ni̱a;Ni̱o;0.71;26.79;26.77;-0.35;0.164
1/03/1995;Ni̱o - Ni̱a;Neutral;0.48;27.28;26.78;0.24;-0.05
1/04/1995;Ni̱o - Ni̱a;Neutral;0.41;27.7;26.78;-1.72;-0.221
1/05/1995;Ni̱o - Ni̱a;Neutral;0.02;27.8;26.78;-0.91;-0.251
