Id_estacio;Nom_Est;Longitud_geo;Latitud_geo;alt_est;ET_mmy;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region
11077030;PLAYA LA [11077030];-76,74999564;6,616665676;29;1585;61;(5-3);4;Antioquia;VigiaDelFuerte;Caribe;DarienRioMurri;VUELTA CORTADA;URABA;Antioquia - Urabá
23125150;VILLAGOMEZ [23125150];-74,19677483;5,271751498;1696;1136;41;(2-9);6;Cundinamarca;Villagomez;MagdalenaCauca;RioCarare(Minero);;;Cundinamarca - 
21250120;VILLAHERMOSA [21250120];-75,11760725;5,016850801;2109;1046;62;(2-7);24;Tolima;Villahermosa;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;SIN DEFINIR;;Tolima - 
21250170;BOQUERON [21250170];-75,25277635;4,903890568;3780;748;48;(2-7);24;Tolima;Villahermosa;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;SIN DEFINIR;;Tolima - 
21255120;VILLAHERMOSA [21255120];-75,11760725;5,016850801;2109;1046;80;(2-7);24;Tolima;Villahermosa;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;SIN DEFINIR;;Tolima - 
26150150;PAPAYAL [26150150];-75,4897189;4,951667068;2241;1018;94;(2-6);13;Caldas;Villamaria;MagdalenaCauca;RioChinchina;PAPAYAL;;Caldas - 
26155150;LAS BRISAS - AUT [26155150];-75,35039116;4,934525483;4106;701;63;(2-6);13;Caldas;Villamaria;MagdalenaCauca;RioGuali;LA PALMA;;Caldas - 
23065200;TRAPICHE EL [23065200];-74,50391837;5,028196801;1072;1287;9;(2-8);12;Cundinamarca;Villeta;MagdalenaCauca;RioNegro;LA MASATA;;Cundinamarca - 
26145010;CECILIA LA [26145010];-75,88333044;5,066670026;995;1307;5;(2-5);17;Caldas;Viterbo;MagdalenaCauca;RioRisaralda;CANAN;;Caldas - 
26145050;SAMARIA LA [26145050];-75,88333775;5,05000231;982;1310;35;(2-5);17;Caldas;Viterbo;MagdalenaCauca;RioRisaralda;SECTOR VALLE DE RISARALDA;;Caldas - 
23060090;YACOPI [23060090];-74,36666741;5,499997784;793;1361;10;(3-8);10;Cundinamarca;Yacopi;MagdalenaCauca;RioNegro;CABO VERDE BAJO;;Cundinamarca - 
23065110;YACOPI - AUT [23065110];-74,35458679;5,484164893;1309;1227;83;(3-9);15;Cundinamarca;Yacopi;MagdalenaCauca;RioNegro;EL UBE;;Cundinamarca - 
27020190;YARUMAL [27020190];-75,41555563;6,955972101;2185;1030;93;(6-6);14;Antioquia;Yarumal;MagdalenaCauca;AltoNechi;;Norte;Antioquia - Norte
27020200;CEDENO [27020200];-75,35558626;7,070720449;1582;1162;96;(6-6);14;Antioquia;Yarumal;MagdalenaCauca;AltoNechi;CEDEÑO;Norte;Antioquia - Norte
27020220;LLANOS D CUIBA LOS [27020220];-75,4838637;6,813615556;2747;920;97;(6-6);14;Antioquia;Yarumal;MagdalenaCauca;AltoNechi;LLANOS DE CUIVA;Norte;Antioquia - Norte
23100040;YOLOMBO [23100040];-75,01091764;6,594278309;1445;1194;87;(5-7);20;Antioquia;Yolombo;MagdalenaCauca;RioSanBartoloyotrosdirectosalMagdalenaMedio;;Nordeste;Antioquia - Nordeste
27010860;NORMANDIA HACIENDA [27010860];-75,11667003;6,700004313;951;1318;20;(5-7);20;Antioquia;Yolombo;MagdalenaCauca;RioPorce;GUACABE;Nordeste;Antioquia - Nordeste
27011230;SAN ANTONIO [27011230];-75,15166611;6,620830419;1026;1299;39;(5-7);20;Antioquia;Yolombo;MagdalenaCauca;RioPorce;EL PICHON;Nordeste;Antioquia - Nordeste
27015200;NORMANDIA HACIENDA [27015200];-75,11666984;6,783332395;967;1314;21;(6-7);10;Antioquia;Yolombo;MagdalenaCauca;RioPorce;GARZON;Norte;Antioquia - Norte
23100070;RAMBLAS [23100070];-74,37083609;6,642779215;104;1562;60;(5-8);9;Antioquia;Yondo(Casabe);MagdalenaCauca;RioSanBartoloyotrosdirectosalMagdalenaMedio;SANTA CLARA;Magdalena medio;Antioquia - Magdalena medio
23100080;SANTA CLARA [23100080];-74,31666525;6,650001243;92;1565;29;(5-9);8;Antioquia;Yondo(Casabe);MagdalenaCauca;RioCimitarrayotrosdirectosalMagdalena;SANTA CLARA;Magdalena medio;Antioquia - Magdalena medio
23105020;AMPARO EL [23105020];-74,40000257;6,733331042;138;1551;4;(6-8);8;Antioquia;Yondo(Casabe);MagdalenaCauca;RioSanBartoloyotrosdirectosalMagdalenaMedio;SAN BARTOLO;Magdalena medio;Antioquia - Magdalena medio
23160010;YONDO [23160010];-73,94416598;7,089448024;70;1572;88;(6-9);4;Antioquia;Yondo(Casabe);MagdalenaCauca;RioCimitarrayotrosdirectosalMagdalena;SAN MIGUEL DEL TIGRE;Magdalena medio;Antioquia - Magdalena medio
24050100;FUENTE LA [24050100];-73,2798923;6,707247776;736;1376;91;(5-11);13;Santander;Zapatoca;MagdalenaCauca;RioSuarez;LA PEÑA;;Santander - 
24055030;ZAPATOCA [24055030];-73,28274797;6,792773644;1822;1107;88;(6-11);27;Santander;Zapatoca;MagdalenaCauca;RioSogamoso;LAS PUENTES;;Santander - 
27030030;ZARAGOZA [27030030];-74,87238979;7,486223823;80;1569;2;(7-7);8;Antioquia;Zaragoza;MagdalenaCauca;BajoNechi(md);;Bajo Cauca;Antioquia - Bajo Cauca
27030090;BOSQUE EL [27030090];-74,83933562;7,319304003;199;1532;98;(7-7);8;Antioquia;Zaragoza;MagdalenaCauca;RioPorce;EL SALTILLO;Bajo Cauca;Antioquia - Bajo Cauca
27030210;ZARAGOZA [27030210];-74,87238979;7,486223823;80;1569;97;(7-7);8;Antioquia;Zaragoza;MagdalenaCauca;BajoNechi(md);;Bajo Cauca;Antioquia - Bajo Cauca
27035010;MONTES NEGROS [27035010];-74,71666339;7,500001311;166;1542;5;(7-8);6;Antioquia;Zaragoza;MagdalenaCauca;BajoNechi(md);LA BONGA;Bajo Cauca;Antioquia - Bajo Cauca
27040020;ALTO DEL INDIO [27040020];-74,95275395;7,530996752;102;1562;91;(7-7);8;Antioquia;Zaragoza;MagdalenaCauca;DirectosalBajoNechi(mi);MAESTRO ESTEBAN OCCIDENTAL;Bajo Cauca;Antioquia - Bajo Cauca
