Id;fecha_mes_año;año;mes;enso_año;enso_mes;anomalia_oni;temp_sst;temp_media;soi;iod
1;ene-70;1970;1;Niña;Neutral;0.48;26.36;26.64;-1.26;0.297
2;feb-70;1970;2;Niña;Neutral;0.41;26.56;26.64;-1.22;0.326
3;mar-70;1970;3;Niña;Neutral;0.13;27.02;26.64;0.06;0.068
4;abr-70;1970;4;Niña;Neutral;0.34;27.4;26.64;-0.56;0.219
5;may-70;1970;5;Niña;Neutral;0.1;27.53;26.65;0.04;0.182
6;jun-70;1970;6;Niña;Neutral;-0.31;27.35;26.65;1.02;-0.385
7;jul-70;1970;7;Niña;Niña;-0.7;26.9;26.65;-0.52;-0.57
8;ago-70;1970;8;Niña;Niña;-0.87;26.46;26.65;0.31;-0.351
9;sep-70;1970;9;Niña;Niña;-0.7;26.34;26.65;1.18;-0.6
10;oct-70;1970;10;Niña;Niña;-0.73;26.33;26.65;0.74;-0.638
11;nov-70;1970;11;Niña;Niña;-0.78;26.35;26.65;1.85;-0.307
12;dic-70;1970;12;Niña;Niña;-1.06;26.33;26.64;1.83;-0.235
13;ene-71;1971;1;Niña;Niña;-1.6;26.42;26.64;0.23;0.198
14;feb-71;1971;2;Niña;Niña;-1.42;26.61;26.64;1.44;0.013
15;mar-71;1971;3;Niña;Niña;-1.13;27.06;26.64;1.98;0.208
16;abr-71;1971;4;Niña;Niña;-0.8;27.44;26.65;2.58;0.24
17;may-71;1971;5;Niña;Niña;-0.61;27.56;26.65;0.88;-0.074
18;jun-71;1971;6;Niña;Niña;-0.78;27.38;26.65;0.21;-0.236
19;jul-71;1971;7;Niña;Niña;-0.82;26.94;26.66;0.17;-0.354
20;ago-71;1971;8;Niña;Niña;-0.79;26.54;26.65;1.42;-0.547
21;sep-71;1971;9;Niña;Niña;-0.71;26.42;26.65;1.51;-0.746
22;oct-71;1971;10;Niña;Niña;-0.96;26.43;26.65;1.75;-0.629
23;nov-71;1971;11;Niña;Niña;-0.88;26.43;26.65;0.55;0.017
24;dic-71;1971;12;Niña;Niña;-1.03;26.4;26.65;0.15;0.215
25;ene-72;1972;1;Niña - Niño;Niña;-0.78;26.42;26.65;0.33;0.143
26;feb-72;1972;2;Niña - Niño;Neutral;-0.3;26.61;26.65;0.67;-0.216
27;mar-72;1972;3;Niña - Niño;Neutral;0.03;27.06;26.65;0.13;0.031
28;abr-72;1972;4;Niña - Niño;Neutral;0.45;27.44;26.65;-0.46;0.131
29;may-72;1972;5;Niña - Niño;Niño;0.75;27.56;26.66;-1.52;0.157
30;jun-72;1972;6;Niña - Niño;Niño;0.8;27.38;26.66;-1.68;0.739
31;jul-72;1972;7;Niña - Niño;Niño;1.2;26.94;26.66;-1.84;0.708
32;ago-72;1972;8;Niña - Niño;Niño;1.4;26.54;26.66;-1.12;0.511
33;sep-72;1972;9;Niña - Niño;Niño;1.52;26.42;26.66;-1.48;0.363
34;oct-72;1972;10;Niña - Niño;Niño;1.83;26.43;26.66;-1.13;0.327
35;nov-72;1972;11;Niña - Niño;Niño;2.17;26.43;26.66;-0.38;0.671
36;dic-72;1972;12;Niña - Niño;Niño;2.28;26.4;26.66;-1.47;0.477
37;ene-73;1973;1;Niño - Niña;Niño;1.92;26.42;26.66;-0.43;0.043
38;feb-73;1973;2;Niño - Niña;Niño;1.34;26.61;26.66;-1.47;-0.077
39;mar-73;1973;3;Niño - Niña;Neutral;0.49;27.06;26.66;-0.06;-0.001
40;abr-73;1973;4;Niño - Niña;Neutral;-0.19;27.44;26.66;-0.37;-0.117
41;may-73;1973;5;Niño - Niña;Niña;-0.59;27.56;26.66;0.25;0.085
42;jun-73;1973;6;Niño - Niña;Niña;-0.83;27.38;26.67;1.22;-0.225
43;jul-73;1973;7;Niño - Niña;Niña;-1.18;26.94;26.67;0.63;-0.495
44;ago-73;1973;8;Niño - Niña;Niña;-1.31;26.54;26.67;1.18;-0.607
45;sep-73;1973;9;Niño - Niña;Niña;-1.36;26.42;26.67;1.27;-0.773
46;oct-73;1973;10;Niño - Niña;Niña;-1.69;26.43;26.67;0.85;-0.449
47;nov-73;1973;11;Niño - Niña;Niña;-2.09;26.43;26.66;2.85;-0.157
48;dic-73;1973;12;Niño - Niña;Niña;-2.06;26.4;26.66;1.76;0.047
49;ene-74;1974;1;Niña;Niña;-1.95;26.42;26.66;2.16;0.279
50;feb-74;1974;2;Niña;Niña;-1.5;26.61;26.66;1.49;0.156
51;mar-74;1974;3;Niña;Niña;-1.21;27.06;26.66;2.1;0.249
52;abr-74;1974;4;Niña;Niña;-0.97;27.44;26.67;1.27;-0.053
53;may-74;1974;5;Niña;Niña;-0.91;27.56;26.67;1.24;-0.239
54;jun-74;1974;6;Niña;Niña;-0.85;27.38;26.67;0.14;-0.027
55;jul-74;1974;7;Niña;Niña;-0.55;26.94;26.67;1.23;-0.249
56;ago-74;1974;8;Niña;Neutral;-0.21;26.54;26.67;0.56;-0.497
57;sep-74;1974;9;Niña;Neutral;-0.35;26.42;26.67;1.16;-0.661
58;oct-74;1974;10;Niña;Niña;-0.66;26.43;26.67;0.72;-0.845
59;nov-74;1974;11;Niña;Niña;-0.82;26.43;26.67;-0.42;-0.551
60;dic-74;1974;12;Niña;Niña;-0.78;26.4;26.67;-0.14;-0.36
61;ene-75;1975;1;Niña;Neutral;-0.32;26.42;26.67;-0.62;-0.367
62;feb-75;1975;2;Niña;Niña;-0.53;26.61;26.67;0.46;-0.249
63;mar-75;1975;3;Niña;Niña;-0.86;27.06;26.67;1.14;-0.464
64;abr-75;1975;4;Niña;Niña;-0.58;27.44;26.67;1.48;0.087
65;may-75;1975;5;Niña;Niña;-0.76;27.56;26.68;0.51;0.066
66;jun-75;1975;6;Niña;Niña;-1.15;27.38;26.68;1.69;0.055
67;jul-75;1975;7;Niña;Niña;-1.04;26.94;26.68;2.13;-0.039
68;ago-75;1975;8;Niña;Niña;-1.2;26.54;26.68;2.03;-0.344
69;sep-75;1975;9;Niña;Niña;-1.37;26.42;26.68;2.15;-0.857
70;oct-75;1975;10;Niña;Niña;-1.54;26.43;26.68;1.67;-1.056
71;nov-75;1975;11;Niña;Niña;-1.38;26.43;26.68;1.25;-0.328
72;dic-75;1975;12;Niña;Niña;-1.73;26.4;26.67;2.05;-0.17
